1;Väriaine
2;Acid yellow 36
3;Alluranpunainen
4;Amarantti
6;Auramine
8;Briljanttisininen FCF
9;Chrysoidine G
10;Erytrosiini
11;Fast garnet GBC
12;Fast green FCF
13;Indigokarmiini
14;Karmiinihappo
15;Kinoliininkeltainen
16;Karmosiini
17;Kurkumiini
18;Oil orange SS
19;Orange II
20;Para Red
21;Paraoranssi
22;Patenttisininen
23;Red 2 G
24;Rhodamine B
26;Sudan I
27;Sudan II
28;Sudan III
29;Sudan IV
30;Sudan orange G
31;Sudan red 7B
32;Sudan red B
33;Sudan red G
34;Sudan yellow
35;Tartratsiini
36;Toluidine red
37;Uuskokkiini
38;Vihrea S
39;Yellow 2G
